           #Fx:            Fy:
      -0.169167      0.0051927
      -0.168503     0.00520618
      -0.168405     0.00520436
      -0.167771     0.00521723
      -0.167727     0.00521377
      -0.167104     0.00522854
      -0.166995     0.00522541
      -0.166284     0.00523833
      -0.166205     0.00523509
      -0.165601     0.00524822
      -0.165612     0.00524378
      -0.165006     0.00525795
       -0.16494     0.00525442
      -0.164235     0.00526819
      -0.164162     0.00526483
      -0.163515     0.00527848
      -0.163519     0.00527309
      -0.162904     0.00528568
      -0.162889     0.00528052
      -0.162215     0.00529446
      -0.162203     0.00528997
      -0.161569     0.00530427
      -0.161588     0.00529969
      -0.160917     0.00531354
      -0.160891      0.0053074
      -0.160204     0.00531999
      -0.160247     0.00531407
      -0.159625     0.00532761
      -0.159691     0.00532187
      -0.159028     0.00533604
      -0.159052     0.00533048
      -0.158346     0.00534471
      -0.158369     0.00533885
      -0.157686     0.00535063
      -0.157779     0.00534257
      -0.157143     0.00535427
       -0.15724     0.00534812
      -0.156556     0.00536151
      -0.156612      0.0053564
      -0.155905     0.00536897
      -0.155995     0.00536182
      -0.155318     0.00537321
      -0.155416     0.00536574
      -0.154737     0.00537518
      -0.154852     0.00536818
      -0.154175     0.00537877
      -0.154313     0.00537254
      -0.153637     0.00538386
       -0.15373     0.00537826
      -0.153012     0.00538755
      -0.153132     0.00537975
       -0.15245     0.00538819
      -0.152614     0.00538049
      -0.151951     0.00538969
      -0.152093     0.00538379
      -0.151399     0.00539332
      -0.151556     0.00538616
      -0.150844     0.00539481
      -0.150982     0.00538673
      -0.150287     0.00539495
      -0.150471     0.00538629
      -0.149789     0.00539427
      -0.149983     0.00538576
      -0.149271     0.00539459
      -0.149451     0.00538582
      -0.148751     0.00539545
      -0.148956     0.00538682
      -0.148239     0.00539543
      -0.148438     0.00538496
      -0.147714     0.00539321
      -0.147938     0.00538268
      -0.147236     0.00539242
      -0.147481     0.00538211
      -0.146768     0.00539145
      -0.147002     0.00538092
       -0.14626     0.00538949
        -0.1465     0.00537827
      -0.145776     0.00538778
      -0.146037      0.0053765
      -0.145322     0.00538488
